idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
2.0,0.45800003,0.45700002,0.646,-0.18800001,0.062000003,0.35900003,0.377,0.18800001,0.19000001,0.291,0.23900001,0.30900002,0.080000006,0.342,0.583,0.0,0.89800006,Linear_oracle,dynamic
2.0,0.50600004,0.49300003,0.646,-0.14,0.09900001,0.259,0.324,0.141,0.16000001,0.21800001,0.21200001,0.16100001,0.069000006,0.35700002,0.72900003,1.0,1.0,BYM_oracle,dynamic
2.0,1.8800001,1.876,2.6460001,-0.76600003,0.256,0.78900003,0.837,0.76600003,0.76600003,0.289,0.29200003,0.089,0.095000006,1.396,2.404,0.0,0.0,Linear_oracle,stoch
2.0,2.0730002,2.0240002,2.6460001,-0.573,0.40600002,0.59300005,0.73300004,0.574,0.63000005,0.21700001,0.23900001,0.05,0.071,1.4540001,2.9840002,1.0,1.0,BYM_oracle,stoch
2.0,0.33400002,0.333,0.646,-0.312,0.074,0.5,0.514,0.349,0.35500002,0.53900003,1199.651,0.59900004,21976202.0,0.19000001,0.48100004,0.0,0.284,Linear_observed,dynamic
2.0,0.45000002,0.402,0.646,-0.19600001,0.20600002,0.324,0.555,0.246,0.35500002,0.381,1411.034,0.25100002,37572950.0,0.18200001,0.99100006,1.0,0.68,BYM_observed,dynamic
2.0,1.2080001,1.2030001,2.6460001,-1.4380001,0.24800001,1.6070001,1.6290001,1.439,1.442,0.544,0.518,0.36900002,0.29500002,0.72900003,1.702,0.0,0.07,Linear_observed,stoch
2.0,1.6560001,1.4690001,2.6460001,-0.99000007,0.73300004,1.2210001,1.437,1.0070001,1.192,0.381,0.43100002,0.21300001,0.23900001,0.73600006,3.588,1.0,0.91800004,BYM_observed,stoch
2.0,0.30600002,0.30400002,0.646,-0.34,0.069000006,0.52400005,0.53900003,0.36200002,0.37300003,0.56,897.309,0.65800005,15289081.0,0.17600001,0.44400004,0.0,0.48800004,Linear_3S,dynamic
2.0,1.1800001,1.1750001,2.6460001,-1.4660001,0.26000002,1.5910001,1.6200001,1.4660001,1.4670001,0.554,0.535,0.36100003,0.30600002,0.688,1.6990001,0.0,0.032,Linear_3S,stoch
